test_num,ignition,spark_x,spark_z,energy
312,0,11.31978514,19.33092949,25.07888509
313,0,11.03661508,19.29250114,22.85753301
314,0,11.47470729,19.32517171,27.08419978
315,0,9.349536052,19.35904563,27.80896157
316,0,9.344692973,19.40261329,25.66761631
317,1,9.307313999,19.4037571,25.94554478
318,0,9.399904306,19.58931694,27.992279
319,1,9.423159339,19.33342378,25.33838725
320,1,7.243795278,19.41073107,18.46824253
321,0,7.528887852,19.41112155,16.38615138
322,1,7.320844532,19.39925289,12.6487823
323,0,7.479641035,19.40380155,16.39170487
324,1,7.287149327,19.41791614,25.00979966
325,1,7.43850083,19.34340831,25.37468508
326,1,7.4130426,19.39657386,21.52643202
327,0,7.522869912,19.39069678,23.94455413
328,0,7.44857262,19.40291732,19.76973112
329,1,7.449953915,19.39898404,23.3862584
330,1,6.719922835,19.40817391,25.65473357
331,1,6.378017466,19.39106716,26.82202464
332,1,6.565077121,19.53597325,24.74820776
333,1,6.786079522,19.36581506,25.38445124
334,1,6.638707182,19.48999671,24.42099038
335,1,0.810647583,20.3706889,28.35963605
336,1,0.474452405,20.44105369,27.36008727
337,1,0.62470559,20.59143336,28.06921753
338,1,0.534999422,21.12830746,31.72789004
339,1,1.290366721,18.79286119,29.90436532
